2023-11-14 14:30:42.317 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:55 - 开始从NeuracleEEG接收脑电数据
2023-11-14 14:30:42.330 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 14:31:43.319 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:59 - 开始从NeuracleEEG接收脑电数据
2023-11-14 14:31:43.319 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 14:46:12.756 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:59 - 开始从NeuracleEEG接收脑电数据
2023-11-14 14:46:12.757 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 14:49:06.403 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:59 - 开始从NeuracleEEG接收脑电数据
2023-11-14 14:49:06.403 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 14:55:57.362 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:59 - 开始从NeuracleEEG接收脑电数据
2023-11-14 14:55:57.363 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 15:03:40.850 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:59 - 开始从NeuracleEEG接收脑电数据
2023-11-14 15:03:40.850 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 15:30:45.554 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:59 - 开始从NeuracleEEG接收脑电数据
2023-11-14 15:30:45.554 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 15:36:28.178 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:59 - 开始从NeuracleEEG接收脑电数据
2023-11-14 15:36:28.179 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 15:38:16.580 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:59 - 开始从NeuracleEEG接收脑电数据
2023-11-14 15:38:16.580 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 15:53:13.508 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:62 - 开始从NeuracleEEG接收脑电数据
2023-11-14 15:53:13.509 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 15:53:35.965 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:62 - 开始从NeuracleEEG接收脑电数据
2023-11-14 15:53:35.965 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 15:53:35.965 | INFO     | AlgorithmSystem.AlgorithmSystemController:stop:39 - 算法模块已经停止运行
2023-11-14 15:57:34.908 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:62 - 开始从NeuracleEEG接收脑电数据
2023-11-14 15:57:34.908 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 16:00:08.008 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:62 - 开始从NeuracleEEG接收脑电数据
2023-11-14 16:00:08.008 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 16:00:08.008 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:stop:88 - 停止算法
2023-11-14 16:00:08.008 | INFO     | AlgorithmSystem.AlgorithmSystemController:stop:39 - 算法模块已经停止运行
2023-11-14 16:00:45.809 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:62 - 开始从NeuracleEEG接收脑电数据
2023-11-14 16:00:45.809 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 16:02:08.227 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:62 - 开始从NeuracleEEG接收脑电数据
2023-11-14 16:02:08.228 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 16:02:16.781 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:62 - 开始从NeuracleEEG接收脑电数据
2023-11-14 16:02:16.782 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
2023-11-14 16:11:03.448 | INFO     | AlgorithmSystem.AlgorithmSystemController:algo_sys_prep:62 - 开始从NeuracleEEG接收脑电数据
2023-11-14 16:11:03.448 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:run:84 - 开始运行算法
